part_index,part_name,measure_number,abs_measure_index,staff,voice,beat,beat_pos,offset_ql_in_measure,start_ql,duration_ql,pitch_name,midi,global_beat
0,Score,63,62,1,,2,0.000,1.000,187.000,1.000,C5,72,150
0,Score,63,62,2,,2,0.000,1.000,187.000,2.000,D3,50,150
0,Score,63,62,2,,2,0.000,1.000,187.000,2.000,G3,55,150
0,Score,63,62,2,,2,0.000,1.000,187.000,2.000,B3,59,150
0,Score,63,62,2,,2,0.000,1.000,187.000,2.000,E4,64,150
0,Score,63,62,1,,3,0.000,2.000,188.000,1.000,B4,71,151
0,Score,64,63,1,,1,0.000,0.000,189.000,3.000,D5,74,152
0,Score,64,63,2,,1,0.000,0.000,189.000,3.000,D2,38,152
0,Score,64,63,2,,1,0.333,1.000,190.000,2.000,C3,48,153
0,Score,64,63,2,,1,0.333,1.000,190.000,2.000,E3,52,153
0,Score,64,63,2,,1,0.333,1.000,190.000,2.000,A3,57,153
0,Score,64,63,2,,1,0.333,1.000,190.000,2.000,D4,62,153
0,Score,65,64,1,,1,0.000,0.000,192.000,2.000,D5,74,154
0,Score,65,64,2,,1,0.000,0.000,192.000,3.000,D2,38,154
0,Score,65,64,2,,1,0.667,1.000,193.000,2.000,C3,48,155
0,Score,65,64,2,,1,0.667,1.000,193.000,2.000,F#3,54,155
0,Score,65,64,2,,1,0.667,1.000,193.000,2.000,A3,57,155
0,Score,65,64,2,,1,0.667,1.000,193.000,2.000,D4,62,155
0,Score,65,64,1,,2,0.333,2.000,194.000,1.000,D5,74,156
0,Score,66,65,1,,1,0.000,0.000,195.000,1.000,E5,76,157
0,Score,66,65,2,,1,0.000,0.000,195.000,3.000,D2,38,157
0,Score,66,65,1,,2,0.000,1.000,196.000,1.000,F5,77,158
0,Score,66,65,2,,2,0.000,1.000,196.000,2.000,A3,57,158
0,Score,66,65,2,,2,0.000,1.000,196.000,2.000,C4,60,158
0,Score,66,65,2,,2,0.000,1.000,196.000,2.000,F4,65,158
0,Score,66,65,1,,3,0.000,2.000,197.000,1.000,G5,79,159
0,Score,67,66,1,,1,0.000,0.000,198.000,1.000,A5,81,160
0,Score,67,66,2,,1,0.000,0.000,198.000,3.000,D2,38,160
0,Score,67,66,1,,2,0.000,1.000,199.000,1.000,C5,72,161
0,Score,67,66,2,,2,0.000,1.000,199.000,2.000,A3,57,161
0,Score,67,66,2,,2,0.000,1.000,199.000,2.000,C4,60,161
0,Score,67,66,2,,2,0.000,1.000,199.000,2.000,E4,64,161
0,Score,67,66,1,,3,0.000,2.000,200.000,1.000,D5,74,162
0,Score,68,67,1,,1,0.000,0.000,201.000,1.000,E5,76,163
0,Score,68,67,2,,1,0.000,0.000,201.000,3.000,D2,38,163
0,Score,68,67,1,,2,0.000,1.000,202.000,1.000,D5,74,164
0,Score,68,67,2,,2,0.000,1.000,202.000,2.000,D3,50,164
0,Score,68,67,2,,2,0.000,1.000,202.000,2.000,G3,55,164
0,Score,68,67,2,,2,0.000,1.000,202.000,2.000,B3,59,164
0,Score,68,67,2,,2,0.000,1.000,202.000,2.000,E4,64,164
0,Score,68,67,1,,3,0.000,2.000,203.000,1.000,B4,71,165
0,Score,69,68,1,,1,0.000,0.000,204.000,3.000,D5,74,166
0,Score,69,68,2,,1,0.000,0.000,204.000,3.000,D2,38,166
0,Score,69,68,2,,1,0.333,1.000,205.000,2.000,C3,48,167
0,Score,69,68,2,,1,0.333,1.000,205.000,2.000,E3,52,167
0,Score,69,68,2,,1,0.333,1.000,205.000,2.000,A3,57,167
0,Score,69,68,2,,1,0.333,1.000,205.000,2.000,D4,62,167
0,Score,70,69,1,,1,0.000,0.000,207.000,2.000,D5,74,168
0,Score,70,69,2,,1,0.000,0.000,207.000,3.000,D2,38,168
0,Score,70,69,2,,1,0.667,1.000,208.000,2.000,C3,48,169
0,Score,70,69,2,,1,0.667,1.000,208.000,2.000,F#3,54,169
0,Score,70,69,2,,1,0.667,1.000,208.000,2.000,A3,57,169
0,Score,70,69,2,,1,0.667,1.000,208.000,2.000,D4,62,169
0,Score,70,69,1,,2,0.333,2.000,209.000,1.000,D5,74,170
0,Score,71,70,1,,1,0.000,0.000,210.000,3.000,G5,79,171
0,Score,71,70,2,,1,0.000,0.000,210.000,3.000,E2,40,171
0,Score,71,70,2,,1,0.333,1.000,211.000,2.000,B3,59,172
0,Score,71,70,2,,1,0.333,1.000,211.000,2.000,E4,64,172
0,Score,71,70,2,,1,0.333,1.000,211.000,2.000,G4,67,172
